1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,71001HYNSNPOBOX,110001314257,HAYNES INTERNATIONAL INC,3786 2ND ST,ARCADIA,BIENVILLE PARISH,LA,71001,,,32.558990,-92.941410,NAD 83.00,HAYNES INTERNATIONAL INC,161178660,HAYNES INTERNATIONAL INC,NA,,NA,NO,331,Primary Metals,,,,,,,331491,,,,,,1323222010581,Nickel  And Nickel Compounds,YES,N495,N495,650036,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,1141.400,0.000,1141.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,614.600,0.000,0.000,0.000,0.000,0.000,0.000,1756.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1756.000,1761.000,0.000,0.000,5.000,614.600,1141.400,0.000,0.000,0.000,0.000,0.000,0.000,1761.000,,PRODUCTION,1.180
2023,70821CPLYM5955S,110000450093,EXXONMOBIL BATON ROUGE CHEMICAL PLANT NORTH,1836 SHADA AVE,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,,,30.502665,-91.173395,NAD 83.00,EAST WEST COPOLYMER & RUBBER LLC,NA,EXXON MOBIL CORP,,,NA,NO,325,Chemicals,,,,,,,325212,531120,,,,,1323222155107,Methyl tert-butyl ether,NO,1634044,1634-04-4,89870,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,ACTIVITY,1.000
2023,70710SDRCHPOBOX,110043799743,ADDIS CARBON BLACK PLANT,5221 SID RICHARDSON RD,ADDIS,WEST BATON ROUGE PARISH,LA,70710,,,30.328800,-91.279200,NAD 83.00,TOKAI CARBON CB,8016495,TOKAI CARBON CB,NA,,TOKAI CARBON CO LTD,NO,325,Chemicals,,,,,,,325180,,,,,,1323221561158,Carbon disulfide,NO,75150,75-15-0,5348,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,67604.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67604.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67604.000,0.000,0.000,67604.000,0.000,0.000,0.000,0.000,0.000,0.000,3215731.000,0.000,3283335.000,,PRODUCTION,0.850
2023,70805LLDSGCORNE,110003266849,HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,CORNER OF LUPINE & ONTARIO STREETS,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,,,30.474444,-91.183056,NAD 83.00,HONEYWELL INTERNATIONAL INC,139691877,HONEYWELL INTERNATIONAL INC,NA,,NA,NO,325,Chemicals,,,,,,,325199,325120,325180,,,,1323221927561,Freon 113 (CFC-113),NO,76131,76-13-1,6148,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,32919.905,56800.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,89720.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,490.400,0.000,0.000,0.000,490.400,0.000,490.400,89720.085,0.000,0.000,61441.600,0.000,0.000,0.000,0.000,0.000,0.000,952545.200,490.400,1014477.200,28278.485,PRODUCTION,0.950
2023,70765THDWCHIGHW,110001244724,THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,21255 LA HWY 1 S,PLAQUEMINE,IBERVILLE PARISH,LA,70764,,,30.320903,-91.239015,NAD 83.00,DOW INC,1381581,DOW INC,NA,,NA,NO,325,Chemicals,,,,,,,325199,325211,325998,,,,1323221935051,Mercury compounds,NO,N458,N458,650028,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,,PRODUCTION,1.000
2023,70669PPGNDCOLUM,110000494894,WESTLAKE US 2 LLC,1300 PPG DR,WESTLAKE,CALCASIEU PARISH,LA,70669,,,30.223500,-93.286900,NAD 83.00,WESTLAKE CORP,783918485,WESTLAKE CORP,NA,,NA,NO,325,Chemicals,,,,,,,325180,221112,325199,,,,1323222047298,Hexachlorocyclopentadiene,NO,77474,77-47-4,6494,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,31000.000,0.000,31000.030,,PRODUCTION,0.890
2023,70721CSMRPLAHWY,110000597319,COS-MAR CO,6325 LA HWY 75,CARVILLE,IBERVILLE PARISH,LA,70721,,,30.225083,-91.069424,NAD 83.00,COSMAR CO,NA,COSMAR CO,NA,,NA,NO,325,Chemicals,,,,,,,325110,,,,,,1323221996402,Biphenyl,NO,92524,92-52-4,14183,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,460000.000,0.000,0.000,0.000,0.000,0.000,460000.000,,PRODUCTION,0.980
2023,7066WLCCLL22BAY,110070031367,LACC LLC US/LOTTE CHEMICAL LOUISIANA LLC,2200 BAYOU D'INDE,WESTLAKE,CALCASIEU PARISH,LA,70669,,,30.214192,-93.308590,NAD 83.00,LOTTE CHEMICAL USA CORP,77060417,LOTTE CHEMICAL USA CORP,LOTTE CHEMICAL CORP,687775056,LOTTE CHEMICAL CORP,NO,325,Chemicals,,,,,,,325199,,,,,,1323222090021,"1,2-Butylene oxide",NO,106887,106-88-7,23937,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,,,
2023,70518SCHMT5750H,110013678653,M-I LLC,5750 HWY 90E,BROUSSARD,LAFAYETTE PARISH,LA,70518,,,30.113190,-91.943240,NAD 83.00,SCHLUMBERGER HOLDINGS CORP,NA,SCHLUMBERGER HOLDINGS CORP,NA,,SCHLUMBERGER TECHNOLOGY CORPRATION,NO,325,Chemicals,,,,,,,325998,,,,,,1323221861329,Methanol,NO,67561,67-56-1,4283,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,1965.000,830.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2795.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31050.000,0.000,0.000,0.000,31050.000,0.000,31050.000,2795.000,0.000,0.000,2795.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31050.000,33845.000,,PRODUCTION,1.500
2023,70079SHLLL1205R,110013831201,SHELL NORCO CHEMICAL PLANT,15536 RIVER RD,NORCO,ST. CHARLES PARISH,LA,70079,,,30.000964,-90.403863,NAD 83.00,SHELL OIL CO,NA,SHELL PETROLEUM INC,,,SHELL PLC,NO,324,Petroleum,,,,,,,324110,,,,,,1323222015024,Naphthalene,NO,91203,91-20-3,13326,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,605.160,3168.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3773.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9052.000,0.000,0.000,9052.000,0.000,9052.000,3773.680,0.000,0.000,3773.680,0.000,0.000,0.000,0.000,14501658.000,0.000,7493.000,9052.000,14521976.680,,ACTIVITY,0.750
